doi,title
10.1016/j.eswa.2018.06.004,Curriculum learning based approach for noise robust language identification using DNN with attention
10.1002/cpe.892,Evaluating high‐performance computers
10.1007/978-81-322-1038-2_16,A Computational Intelligence based Approach to Telecom Customer Classification for Value Added Services
10.1109/TSMCC.2006.886964,Machine Learning With AIBO Robots in the Four-Legged League of RoboCup
10.2753/MIS0742-1222230307,Using Enterprise Architecture Standards in Managing Information Technology
10.1007/s11548-016-1515-z,Automatic gallbladder and gallstone regions segmentation in ultrasound image
10.1109/ICIP.2014.7025581,Iterative keyframe selection by orthogonal subspace projection
10.1016/j.chb.2014.09.054,Process mining analysis of conceptual modeling behavior of novices - empirical study using JMermaid modeling and experimental logging environment
10.1016/j.neuroimage.2017.05.031,Reprint of ‘Noise contributions to the fMRI signal: An Overview'
10.1109/SPLIM.2016.7528402,Deep learning architectures for tattoo detection and de-identification
10.1145/201019.201030,The isomorphism conjecture fails relative to a random oracle
10.1016/j.jda.2009.02.007,Dynamic extended suffix arrays
10.1109/ACCESS.2017.2679980,Anonymous Authentication on Trust in Pervasive Social Networking Based on Group Signature
10.1016/j.cmpb.2015.05.011,Neurosurgery planning in rodents using a magnetic resonance imaging assisted framework to target experimentally defined networks
10.1016/j.tcs.2017.09.005,Fault-tolerant spanners in networks with symmetric directional antennas
10.1007/978-3-642-40498-6_11,Dynamic Spatial Positioning: Physical Collaboration around Interactive Table by Children in India
10.1007/s11280-008-0047-z,Holistically Stream-based Processing Xtwig Queries
10.1002/meet.1450400113,Managing Social Capital as Knowledge Management - Some Specification and Representation Issues.
10.1145/1879082.1879093,Tiered incentives for integrity based queuing
10.1016/j.jvcir.2011.10.009,A fast compression-based similarity measure with applications to content-based image retrieval
10.1109/TCAD.2006.882482,Statistical Timing Analysis With Coupling
10.1002/spe.v39:7,Achieving high and consistent rendering performance of Java AWT-Swing on multiple platforms
10.1145/2814270.2814323,Programming with enumerable sets of structures
10.1007/978-3-319-72150-7_42,"On Mining Temporal Patterns in Dynamic Graphs, and Other Unrelated Problems"
10.1016/j.ejor.2015.09.034,"The what, the why and the how of behavioural operational research—An invitation to potential sceptics"
10.1109/TSP.2004.842213,Joint window and time domain equalizer design for bit rate maximization in DMT-receivers
10.1109/TSG.2018.2832544,Signal Temporal Logic-Based Attack Detection in DC Microgrids
10.1109/JSTARS.2014.2375066,Crater Detection Based on Gist Features
10.1007/s11042-006-5116-7,"Design, analysis, and implementation of an agent driven pull-based distributed video-on-demand system"
10.1016/j.compchemeng.2013.09.004,Hybrid method integrating agent-based modeling and heuristic tree search for scheduling of complex batch processes
10.1109/MASCOT.2005.5,A geographic directed preferential Internet topology model
10.1007/11608035_28,Process elements: components of software process architectures
10.1007/s12021-013-9200-7,Information Processing in the Mirror Neuron System in Primates and Machines
10.1109/TCST.2018.2866964,Head-Trajectory-Tracking Control of a Snake Robot and Its Robustness Under Actuator Failure
10.1109/TAC.2015.2400663,Constructive Interconnection and Damping Assignment for Port-Controlled Hamiltonian Systems
10.1109/TVT.2013.2275014,LIMERIC: A Linear Adaptive Message Rate Algorithm for DSRC Congestion Control
10.1109/ICCV.2003.1238666,Real time pattern matching using projection kernels
10.1016/j.neucom.2016.08.028,On synchronization for chaotic memristor-based neural networks with time-varying delays ☆
10.1109/TIT.2012.2232348,Performance Analysis of Likelihood-Based Multiple Access for Detection Over Fading Channels
10.1007/s11276-016-1301-4,Network selection in heterogeneous wireless networks using multi-criteria decision-making algorithms: a review
10.1145/2503713.2503726,A methodology to assess the acceptability of human-robot collaboration using virtual reality
10.1109/tgrs.2018.2873326,Joint-Sparse-Blocks and Low-Rank Representation for Hyperspectral Unmixing
10.1109/ECRTS.2012.32,Memory Access Control in Multiprocessor for Real-Time Systems with Mixed Criticality
10.1145/3308532.3329465,What's on your virtual mind? : mind perception in human-agent negotiations
10.1007/978-3-642-27940-9_5,Synchronizability for verification of asynchronously communicating systems
10.1109/COMPSACW.2011.52,A Framework for Resource Allocation Strategies in Cloud Computing Environment
10.1007/s11227-017-1963-4,HFIM: a Spark-based hybrid frequent itemset mining algorithm for big data processing
10.1145/3154448.3154451,Predicting DRAM reliability in the field with machine learning
10.1145/3290605.3300338,What.Hack: Engaging Anti-Phishing Training Through a Role-playing Phishing Simulation Game
10.1109/ICDE.1991.131477,Atomic commitment for integrated database systems
10.1109/HICSS.2008.191,How IT Supports Knowledge Discovery and Learning Processes on the Web
10.1016/j.neuroimage.2019.116120,SpinDoctor: A MATLAB toolbox for diffusion MRI simulation
10.1007/978-3-319-22689-7_9,Visualization of Checking Results for Graphical Validation Rules
10.1287/deca.1090.0151,Bayesian Simulation and Decision Analysis: An Expository Survey
10.1007/978-3-319-46254-7_13,Predicting User Identity and Personality Traits from Mobile Sensor Data
10.1007/11590354_95,"RSM and SLN: transformation, normalization and cooperation"
10.1016/j.patcog.2014.07.007,A context-aware approach for long-term behavioural change detection and abnormality prediction in ambient assisted living
10.1007/978-3-319-46487-9_27,Large Scale Asset Extraction for Urban Images
10.1109/IJCNN.2013.6706968,Biologically inspired intensity and range image feature extraction
10.1016/j.sigpro.2007.08.016,An interpolation-based watermarking scheme
10.1109/TITS.2018.2877785,Vehicle Speed Prediction Using a Markov Chain With Speed Constraints
10.1007/s005300050117,A progressively reliable transport protocol for interactive wireless multimedia
10.1109/access.2018.2872718,Physical Layer Security for Hybrid Satellite Terrestrial Relay Networks With Joint Relay Selection and User Scheduling
10.1049/iet-com.2015.0977,Multi-device selection scheduling in non-identically distributed fading channels
10.1007/978-3-030-36938-5_39,Keyed Non-parametric Hypothesis Tests.
10.1109/CloudCom.2014.135,Energy-Efficient Data Center Networks Planning with Virtual Machine Placement and Traffic Configuration
10.1007/978-3-319-66167-4_13,Decidable Verification of Decision-Theoretic Golog
10.1109/ICASSP.2013.6639356,Recognition of harmonic sounds in polyphonic audio using a missing feature approach
10.1109/TEST.1991.519494,A common approach to test generation and hardware verification based on temporal logic
10.1109/ReConFig.2016.7857171,FPGA implementation of optimized XBM specifications by transformation for AFSMs
10.1109/TVT.2012.2201189,Mimicking Full-Duplex Relaying Using Half-Duplex Relays With Buffers
10.1007/978-3-642-40627-0_41,Breaking Symmetry with Different Orderings
10.1016/j.engappai.2016.08.017,Distributed multi-agent architecture for real-time wireless control networks of multiple plants
10.3390/rs10020236,A CNN-Based Fusion Method for Feature Extraction from Sentinel Data
10.1109/ReCoSoC.2013.6581517,Dynamically reconfigurable FIR filter architectures with fast reconfiguration
10.1109/CAD/Graphics.2011.41,Lattice-Based Skinning and Deformation for Real-Time Skeleton-Driven Animation
10.1016/j.patrec.2012.07.019,Modeling the spatial layout of images beyond spatial pyramids
10.1007/978-3-642-33718-5_15,Learning to efficiently detect repeatable interest points in depth data
10.1016/j.neucom.2018.07.029,Hierarchical attention-based multimodal fusion for video captioning
10.1145/2588555.2595642,Fast database restarts at facebook
10.1007/978-3-030-33709-4_1,Text Relation Extraction Using Sentence-Relation Semantic Similarity
10.1109/SAINT.2008.47,Matrix Routing -- An Interference Range Insensitive Routing Protocol for Wireless Sensor Networks
10.1007/978-3-540-24625-1_4,Separation of Concerns in Multi-agent Systems: An Empirical Study
10.1109/VR.2019.8798070,User-Centered Extension of a Locomotion Typology: Movement-Related Sensory Feedback and Spatial Learning
10.1145/2370816.2370829,XPoint cache: scaling existing bus-based coherence protocols for 2D and 3D many-core systems
10.1109/MCSA.2003.1240767,Garbage collector assisted memory offloading for memory-constrained devices
10.1145/1355734.1355737,Rethinking virtual network embedding: substrate support for path splitting and migration
10.1109/TVT.2007.905338,Efficient Rate-Guaranteed Opportunistic Scheduling for Wireless Networks
10.1007/11550617_47,Appraisal for a character-based story-world
10.1016/j.csl.2014.04.006,Topic segmentation of TV-streams by watershed transform and vectorization
10.1109/IISWC.2007.4362176,Characterizing the Effect of Microarchitecture Design Parameters on Workload Dynamic Behavior
10.1145/1367045.1367052,An energy characterization platform for memory devices and energy-aware data compression for multilevel-cell flash memory
10.1109/3dv.2016.26,A Depth Restoration Occlusionless Temporal Dataset
10.1109/ICARCV.2010.5707431,NARMA-L2 controller for 2-DoF underactuated planar manipulator
10.1109/MSP.2012.2197232,"Discriminative Training for Automatic Speech Recognition: Modeling, Criteria, Optimization, Implementation, and Performance"
10.1007/s12369-015-0324-9,Evaluation of a Fuzzy-Based Impedance Control Strategy on a Powered Lower Exoskeleton
10.1109/CSCloud.2016.50,A Semantic Approach to Intelligent and Personal Tutoring System
10.4108/icst.intetain.2015.259627,GAINE — tanGible augmented interaction for edutainment
10.1145/1086228.1086284,Cutpoints for formal equivalence verification of embedded software
10.1145/3294052.3319691,Tight Trade-offs for the Maximum k-Coverage Problem in the General Streaming Model
10.1109/TIT.2008.2011434,Achieving the Empirical Capacity Using Feedback: Memoryless Additive Models
10.1109/ICAT.2013.6684048,New web information retrieval paradigm based on a multi-space interpretation index and projection operations
10.1016/j.comcom.2011.05.008,Analytical modelling in 802.11 ad hoc networks
10.1145/2422436.2422463,Approaching utopia: strong truthfulness and externality-resistant mechanisms
10.1145/1993636.1993718,Santa Claus schedules jobs on unrelated machines
10.1109/ICASSP.2019.8682911,Computation Scheduling for Distributed Machine Learning with Straggling Workers
10.1109/COMST.2015.2495297,Survey of Important Issues in UAV Communication Networks
10.1109/TCAD.2005.852680,Fast detection of data retention faults and other SRAM cell open defects
10.1109/TMM.2014.2302744,Mobile Landmark Search with 3D Models
10.1109/INFCOM.2009.5062078,All Bits Are Not Equal - A Study of IEEE 802.11 Communication Bit Errors
10.1109/TCSI.2016.2529282,A New Single $h$ and Multi- $h$ CPM Transmitter
10.1007/s10619-018-7222-8,A K-way spectral partitioning of an ontology for ontology matching
10.1007/978-3-642-31401-8_28,Comparing direct and remote tactile feedback on interactive surfaces
10.1007/s00500-018-3666-z,Multi-objective search-based software modularization: structural and non-structural features
10.1109/SPAWC.2015.7227055,Distributed cooperative spectrum sensing from sub-Nyquist samples for Cognitive Radios
10.1145/2931037.2931042,Automated and effective testing of web services for XML injection attacks
10.1109/GRID.2007.4354137,Log summarization and anomaly detection for troubleshooting distributed systems
10.1057/ejis.2013.23,An empirical investigation of Technology Readiness among medical staff based in Greek hospitals
10.1017/S0960129507006536,Observational interpretation of casl specifications
10.1109/icmla.2016.0175,Fast Nearest Neighbor Search with Transformed Residual Quantization
10.1007/s11042-016-4124-5,Compressed-domain visual saliency models: a comparative study
10.1109/TBME.2006.873565,Automated semantic analysis of changes in image sequences of neurons in culture
10.1007/s12652-019-01377-0,Fermatean fuzzy sets
10.1186/1687-1499-2012-249,Doubly selective channel estimation for OFDM modulated amplify-and-forward relay networks using superimposed training
10.1016/j.eswa.2018.09.012,A new approach in DNA sequence compression: Fast DNA sequence compression using parallel chaos game representation
10.1186/s13639-017-0078-6,Multi-criteria Resource Allocation in Modal Hard Real-Time Systems
10.14778/2732977.2732992,Reachability querying: an independent permutation labeling approach
10.3233/JCS-2002-10304,Eliminating counterevidence with applications to accountable certificate management
10.1007/s10515-014-0149-z,An experiment in ontology use for command and control interoperability
10.1016/j.csl.2005.08.001,Application-independent evaluation of speaker detection
10.1109/TNET.2015.2415734,Joint congestion control and routing optimization: an efficient second-order distributed approach
10.1023/B:MACH.0000039780.84966.04,Compact Representation of Knowledge Bases in Inductive Logic Programming
10.1145/1133981.1133993,An experimental analysis of self-adjusting computation
10.1007/978-3-642-19802-1_16,FONTE: A Protégé Plug-in for Engineering Complex Ontologies
10.1145/2792838.2800192,Learning Distributed Representations from Reviews for Collaborative Filtering
10.1007/s10009-010-0181-7,Automated maintenance of service compositions with SLA violation detection and dynamic binding
10.1145/166266.168458,Collaborative multimedia scientific design in SHASTRA
10.1016/j.inffus.2017.09.006,A tutorial review on entropy-based handcrafted feature extraction for information fusion
10.1109/ECRTS.2011.30,Scalable Utility Aware Scheduling Heuristics for Real-time Tasks with Stochastic Non-preemptive Execution Intervals
10.1016/0304-3975(92)90054-J,Defining conditional independence using collapses
10.1109/TCAD.2011.2114531,UFO: Unified Convex Optimization Algorithms for Fixed-Outline Floorplanning Considering Pre-Placed Modules
10.1109/dasc/picom/datacom/cyberscitec.2018.00037,Detecting Anomaly in Big Data System Logs Using Convolutional Neural Network
10.1080/03081079.2015.1010247,Distributed non-fragile filtering for sensor networks with randomly occurring filter gain variations
10.1109/JIOT.2017.2706946,An Incentive Mechanism for Crowdsensing Markets With Multiple Crowdsourcers
10.1007/978-3-540-79037-2_6,History and current researches on building a human interface for humanoid robots
10.1007/978-3-642-05148-7_34,Introducing Aspect-oriented Space Containers for efficient publish/subscribe scenarios in Intelligent Transportation Systems
10.1109/TIP.2007.908073,Image Segmentation Using Active Contours Driven by the Bhattacharyya Gradient Flow
10.1080/18756891.2016.1175810,Selecting appropriate ERP software using integrated fuzzy linguistic preference relations – fuzzy TOPSIS method
10.1016/j.imavis.2006.02.009,3D shape-based face representation and feature extraction for face recognition
10.1109/GLOCOM.2017.8254986,"Which Achieves Lower Latency with Redundant Requests, Replication or Coding?"
10.4108/icst.collaboratecom.2012.250423,Collaborative e-learning through open social student modeling and Progressive Zoom navigation
10.1109/FG.2015.7284872,Learning to combine local models for facial Action Unit detection
10.1007/BF02573971,How hard is half-space range searching?
10.1007/978-3-319-03731-8_54,Conditional Random Fields for Image Region Labeling with Global Observation
10.1109/TIP.2017.2655449,Effective Multi-Query Expansions: Collaborative Deep Networks for Robust Landmark Retrieval
10.1007/s00034-016-0328-1,Synchronization Stability and Control for Neutral Complex Dynamical Network with Interval Time-Varying Coupling Delay
10.1109/TSC.2016.2589245,User Differentiated Verifiable File Search on the Cloud
10.1145/2535838.2535842,Freeze after writing: quasi-deterministic parallel programming with LVars
10.1177/1461444819868678,Perceiving education from Facebook profile pictures
10.1109/cvprw.2016.155,Hidden Hands: Tracking Hands with an Occlusion Aware Tracker
10.4018/IJEGR.2015070105,Digitally Enabled Service Transformations in Public Sector: A Review of Institutionalisation and Structuration Theories
10.1109/INFOCOM.2019.8737430,Unsupervised Anomaly Detection for Intricate KPIs via Adversarial Training of VAE
10.1016/j.specom.2008.05.004,Combined speech enhancement and auditory modelling for robust distributed speech recognition
10.1109/SocialCom.2013.44,A Structure for Opinion in Social Domains
10.1109/WASPAA.2015.7336950,"Deep learning, audio adversaries, and music content analysis"
10.1109/HPCC/SmartCity/DSS.2019.00345,swFLOW: A Dataflow Deep Learning Framework on Sunway TaihuLight Supercomputer
10.1016/j.jctb.2017.09.012,Well-quasi-ordering versus clique-width
10.5244/C.25.31,Entropy Driven Hierarchical Search for 3D Human Pose Estimation
10.1142/S0219843616500213,Walking Engine Using ZMP Criterion and Feedback Control for Child-Sized Humanoid Robot
10.1007/978-3-540-79104-1_6,Private query on encrypted data in multi-user settings
10.1109/TNN.2005.853430,Probabilistic approaches to fault detection in networked discrete event systems
10.1093/bioinformatics/bti806,Application of compression-based distance measures to protein sequence classification: a methodological study
10.1007/978-3-642-32066-8_6,A multi-classifier approach to dialogue act classification using function words
10.1007/s10916-014-0165-3,Meeting the Security Requirements of Electronic Medical Records in the ERA of High-Speed Computing
10.1016/j.microrel.2016.05.008,PVTA-aware approximate custom instruction extension technique: A cross-layer approach
10.1016/j.disc.2010.07.001,Acyclic 4-choosability of planar graphs with neither 4-cycles nor triangular 6-cycles
10.1007/11829263_1,"Searching in a maze, in search of knowledge: issues in early artificial intelligence"
10.1007/978-3-319-10605-2_47,Action Recognition Using Super Sparse Coding Vector with Spatio-temporal Awareness
10.1109/TCAD.2011.2160541,TALk: A Temperature-Aware Leakage Minimization Technique for Real-Time Systems
10.1109/TITS.2014.2325395,Limits of Predictability for Large-Scale Urban Vehicular Mobility
10.1109/bigdata.2018.8622037,An Unsupervised Learning Based Approach for Mining Attribute Based Access Control Policies
10.1016/j.bspc.2017.08.018,An efficient and robust approach for biomedical image retrieval using Zernike moments
10.1016/j.envsoft.2014.06.024,A parallel computational framework to solve flow and transport in integrated surface-subsurface hydrologic systems
10.1108/JEIM-03-2017-0046,A new weighted fuzzy information axiom method in production research
10.1109/WCRE.2002.1173076,A denotational interprocedural program slicer
10.1002/bltj.20490,Prediction-based load shedding for burst data streams
10.1109/TIP.2015.2507402,Super-Interpolation With Edge-Orientation-Based Mapping Kernels for Low Complex $2	imes $ Upscaling
10.1007/s10270-003-0040-z,Plug-and-play composition of features and feature interactions with statechart diagrams
10.1162/COLI_a_00123,Automatically assessing machine summary content without a gold standard
10.1007/s11277-013-1506-0,Performance of Dualbeam MIMO for Millimeter Wave Indoor Communication Systems
10.1145/3025453.3025477,From in the Class or in the Wild?: Peers Provide Better Design Feedback Than External Crowds
10.1007/978-3-030-05366-6_6,A Hybrid Meta-heuristic Approach for Load Balanced Workflow Scheduling in IaaS Cloud
10.1109/SP.2016.63,Dedup Est Machina: Memory Deduplication as an Advanced Exploitation Vector
10.1186/s13638-016-0576-6,A novel queue management policy for delay-tolerant networks
10.1109/INISTA.2016.7571862,Moving towards in object recognition with deep learning for autonomous driving applications
10.1145/2992154.2992165,The Effect of Visual Distractors in Peripheral Vision on User Performance in Large Display Wall Systems
10.1007/s11227-019-03038-7,Efficient task and workflow scheduling in inter-cloud environments: challenges and opportunities
10.1111/j.1467-8659.2007.01092.x,Interactive Visual Workspaces with Dynamic Foveal Areas and Adaptive Composite Interfaces
10.1109/DPDS.1988.675007,A robust protocol for parallel join operation in distributed data bases
10.1177/1094342016684975,Partial differential equations preconditioner resilient to soft and hard faults
10.1016/j.comnet.2005.12.008,Rate-distortion based link state update
10.1109/TIT.2007.896860,Information Rates Subject to State Masking
10.1016/j.tcs.2015.10.038,Order compression schemes
10.1007/s00778-015-0390-5,Provenance-based analysis of data-centric processes
10.1002/spe.1054,"Satisfying quality requirements in the design of a partition-based, distributed stock trading system"
10.23919/FMCAD.2019.8894273,Anytime Weighted MaxSAT with Improved Polarity Selection and Bit-Vector Optimization
10.1007/978-3-662-48119-6_24,Mapping Kernels Between Rooted Labeled Trees Beyond Ordered Trees
10.1109/IVCNZ.2010.6148813,A cubic polynomial model for fisheye camera
10.1007/978-3-319-68155-9_6,Decomposition-Based Approximation of Time Series Data with Max-Error Guarantees
10.1109/COMMNET.2019.8742367,An access authentication algorithm based on a hierarchical identity-based signature over lattice for the space-ground integrated network
